>>> Measurement Start! Pattern: 1,,,,,,
ResultLog: Time(s), Pattern, CompX(deg), CompY(deg), Vst_y(m/s), Vsy(m/s), Vsx(m/s)
7.285,1,10.15,2.41,0.3,0.3,-0.014
7.39,1,10.71,6.35,0.3,0.3,0.001
7.494,1,9.47,6.45,0.3,0.3,-0.016
7.599,1,7.09,2.7,0.3,0.299,-0.016
7.703,1,4.34,-2.31,0.3,0.299,0.004
7.807,1,2.44,0.26,0.3,0.299,-0.015
7.912,1,-3.96,0.43,0.3,0.3,0
8.016,1,-4.74,2.86,0.3,0.3,0
8.121,1,-1.02,0.63,0.3,0.301,0
8.225,1,-1.15,1.31,0.3,0.299,0.001
8.329,1,2.39,2.73,0.3,0.301,-0.014
8.434,1,4.81,3.52,0.3,0.3,0
8.538,1,5.81,5.12,0.3,0.301,-0.001
8.643,1,4.77,4.61,0.3,0.3,0
8.747,1,7.25,-1.68,0.3,0.3,-0.017
8.851,1,6.25,-0.78,0.3,0.299,0
8.955,1,6.27,3.02,0.3,0.299,0
9.06,1,2.71,2.87,0.3,0.3,-0.015
9.164,1,-3.64,3.82,0.3,0.301,-0.001
9.269,1,-1.44,0.58,0.3,0.3,0
9.373,1,3.89,-1.44,0.3,0.3,0.001
9.477,1,-9.91,-0.88,0.3,0.302,-0.015
9.582,1,-2.14,5.58,0.3,0.301,-0.016
9.686,1,2.72,3.29,0.3,0.301,0
9.791,1,6.84,2.23,0.3,0.3,-0.014
9.895,1,3.56,-0.23,0.3,0.3,-0.014
9.999,1,7.02,1.92,0.3,0.299,0
>>> Measurement Finished,,,,,,
,,,,,,
>>> Measurement Start! Pattern: 2,,,,,,
ResultLog: Time(s), Pattern, CompX(deg), CompY(deg), Vst_y(m/s), Vsy(m/s), Vsx(m/s)
0.011,2,0.36,1.23,0.3,0,0
0.115,2,1.01,0.81,0.3,0.04,0
0.22,2,3.03,1.67,0.3,0.039,0
0.324,2,2.66,0.28,0.3,0.075,0
0.429,2,5.93,1.42,0.3,0.068,0
0.533,2,5.71,1.16,0.3,0.098,0
0.638,2,7.07,1.89,0.3,0.11,0
0.742,2,7.45,2.08,0.3,0.129,0
0.847,2,6.23,0.8,0.3,0.163,0
0.951,2,5.09,2.3,0.3,0.192,0
1.055,2,7.11,2.12,0.3,0.184,0
1.16,2,5.93,1.44,0.3,0.208,0
1.264,2,3.34,0.56,0.3,0.245,0
1.368,2,1.87,3.58,0.3,0.292,-0.001
1.473,2,4.29,2.22,0.3,0.248,0
1.577,2,2.68,3.92,0.3,0.274,0
1.682,2,4.99,1.73,0.3,0.249,0
1.786,2,-1.07,0.83,0.3,0.314,0
1.89,2,4.78,-1.59,0.3,0.257,0
1.995,2,4.26,1.21,0.3,0.269,0
2.099,2,1.88,2.02,0.3,0.32,0
2.203,2,4.38,-0.42,0.3,0.271,0
2.308,2,6.31,0.57,0.3,0.251,0
2.412,2,-0.7,0.62,0.3,0.325,0
2.517,2,7.73,0.36,0.3,0.237,0
2.621,2,6.67,-0.51,0.3,0.259,0.001
2.726,2,7.09,2.52,0.3,0.254,0
2.83,2,-0.97,-2.4,0.3,0.338,0.001
2.935,2,-0.4,1.24,0.3,0.334,-0.015
3.039,2,0.16,4.21,0.3,0.33,0
3.143,2,-2.2,1.3,0.3,0.352,0
3.248,2,-1.72,0.48,0.3,0.323,0
3.353,2,-2.37,3.81,0.3,0.349,-0.001
3.457,2,-0.27,-0.75,0.3,0.318,0
3.562,2,3.88,2.3,0.3,0.273,0
3.666,2,2.22,-0.51,0.3,0.295,-0.015
3.771,2,3.47,-2.33,0.3,0.286,0.001
3.875,2,3.84,-1.45,0.3,0.277,0
3.98,2,3.75,-0.52,0.3,0.287,0.001
4.085,2,16.81,-0.91,0.3,0.129,0.003
4.189,2,0.45,3.5,0.3,0.329,0
4.294,2,2.59,4.28,0.3,0.297,0
4.398,2,6.18,4.53,0.3,0.256,-0.015
4.503,2,5.38,2.69,0.3,0.268,0
4.607,2,0.87,7,0.3,0.329,0
4.712,2,-6.23,5.44,0.3,0.4,0.015
4.816,2,-1.36,5.28,0.3,0.335,-0.001
4.92,2,4.29,1.42,0.3,0.284,-0.001
5.025,2,0.72,0.32,0.3,0.332,-0.001
5.129,2,4.94,-2.24,0.3,0.272,0.014
5.234,2,4.39,-1.99,0.3,0.283,0
5.338,2,1.43,-0.07,0.3,0.328,0.001
5.443,2,1.54,1.96,0.3,0.325,0.001
5.547,2,0.33,2.01,0.3,0.322,0.001
5.651,2,-0.56,8.23,0.3,0.32,0
5.756,2,-2.85,11.01,0.3,0.347,0
5.861,2,2.73,4.14,0.3,0.29,0
5.965,2,2.58,0.27,0.3,0.29,0
6.07,2,4.53,1.93,0.3,0.266,-0.001
6.174,2,2.73,-1.49,0.3,0.288,-0.001
6.278,2,1.82,-1.81,0.3,0.323,0
6.383,2,3.66,-2.42,0.3,0.283,0
6.488,2,0,-2.12,0.3,0.324,0
6.592,2,1.21,-2.13,0.3,0.324,0.001
6.696,2,2.6,0.16,0.3,0.292,0.002
6.801,2,4.43,6.85,0.3,0.275,0
6.905,2,0.25,5.68,0.3,0.326,0
7.009,2,5.42,9.2,0.3,0.262,0
7.114,2,1.84,5.17,0.3,0.329,-0.001
7.218,2,-0.65,4,0.3,0.329,-0.016
7.323,2,-0.59,-3.57,0.3,0.326,-0.015
7.427,2,0.25,-5.18,0.3,0.323,0
7.532,2,-1.05,-3.95,0.3,0.318,0
7.636,2,-0.21,-2.66,0.3,0.317,0.001
7.741,2,7.88,12.66,0.3,0.222,-0.003
7.845,2,-3.59,6.2,0.3,0.354,0
7.95,2,-0.59,11.8,0.3,0.309,-0.001
8.055,2,3.16,4.92,0.3,0.267,-0.001
8.159,2,7.79,2.4,0.3,0.227,0
8.263,2,2.61,6.49,0.3,0.294,-0.017
8.368,2,-2.98,0.48,0.3,0.366,0
8.472,2,1.69,3.36,0.3,0.326,-0.001
8.577,2,3.71,0.36,0.3,0.283,0
8.681,2,3.14,-6.38,0.3,0.292,0.001
8.786,2,5.75,-2.19,0.3,0.26,-0.014
8.89,2,0.01,-0.06,0.3,0.326,0.001
8.995,2,3.77,2.82,0.3,0.279,-0.014
9.099,2,2.15,2.79,0.3,0.295,0.001
9.203,2,1.49,6.08,0.3,0.32,-0.015
9.307,2,3.19,3.57,0.3,0.287,-0.014
9.412,2,0.59,0.01,0.3,0.323,-0.016
9.516,2,2.71,7.91,0.3,0.293,-0.001
9.621,2,-0.21,-0.36,0.3,0.323,0
9.725,2,-0.78,-4.38,0.3,0.321,0.001
9.83,2,-0.24,-3.87,0.3,0.318,0.001
9.934,2,-1.39,1.98,0.3,0.317,-0.016
>>> Measurement Finished,,,,,,
,,,,,,
>>> Measurement Start! Pattern: 3,,,,,,
ResultLog: Time(s), Pattern, CompX(deg), CompY(deg), Vst_y(m/s), Vsy(m/s), Vsx(m/s)
0.011,3,-0.18,2.02,0.3,0,0.01
0.115,3,0.17,2.41,0.3,0.037,0.014
0.22,3,2.8,1.27,0.3,0.037,-0.009
0.324,3,3.5,1.07,0.3,0.059,-0.009
0.429,3,5.46,3.29,0.3,0.066,0.023
0.533,3,6.13,1.48,0.3,0.085,-0.009
0.637,3,5.04,1.63,0.3,0.125,-0.008
0.742,3,6.36,1.28,0.3,0.13,-0.009
0.847,3,6.32,2.58,0.3,0.15,0.017
0.951,3,5.72,1.79,0.3,0.171,-0.009
1.056,3,2.97,-1.1,0.3,0.213,-0.008
1.16,3,3.14,0.38,0.3,0.227,-0.005
1.265,3,13.02,0.64,0.3,0.118,-0.008
1.369,3,1.49,1.18,0.3,0.277,-0.009
1.473,3,-1.71,1.73,0.3,0.282,-0.009
1.578,3,7.75,2.57,0.3,0.197,0.012
1.682,3,9.67,-3.81,0.3,0.186,-0.031
1.787,3,10.65,-5.1,0.3,0.188,-0.048
1.892,3,2.77,-3.78,0.3,0.287,-0.032
1.996,3,2.71,-2.66,0.3,0.289,-0.015
2.1,3,1.95,1.07,0.3,0.321,0.012
2.204,3,2.8,3.28,0.3,0.287,0.039
2.309,3,-1.74,2.04,0.3,0.319,0.027
2.413,3,1.81,1.36,0.3,0.317,0
2.518,3,6.58,0.12,0.3,0.243,0
2.622,3,-0.58,3.67,0.3,0.316,0.017
2.727,3,3.57,2.44,0.3,0.278,0.02
2.831,3,6.09,1.17,0.3,0.251,-0.003
2.936,3,4.67,0.56,0.3,0.272,-0.017
3.04,3,1.9,0.22,0.3,0.327,-0.002
3.144,3,4.3,-4.09,0.3,0.288,-0.053
3.249,3,1.28,3.43,0.3,0.323,0.033
3.353,3,1.16,1.2,0.3,0.32,-0.019
3.458,3,1.59,5.8,0.3,0.319,0.049
3.562,3,3.81,2.53,0.3,0.277,0.007
3.667,3,2.92,1.39,0.3,0.287,-0.019
3.771,3,-1.37,4.35,0.3,0.322,0.035
3.876,3,1.69,1.86,0.3,0.322,-0.021
3.98,3,1.15,0.72,0.3,0.323,-0.006
4.084,3,0.52,0.83,0.3,0.321,-0.004
4.189,3,-0.3,-0.14,0.3,0.322,-0.009
4.294,3,1.87,2.9,0.3,0.32,0.003
4.398,3,3.01,-1.23,0.3,0.287,-0.009
4.503,3,2.56,1.13,0.3,0.292,-0.008
4.607,3,-3.19,-3.03,0.3,0.359,-0.039
4.712,3,1.63,-2.34,0.3,0.323,-0.026
4.817,3,3.69,1.11,0.3,0.278,-0.005
4.921,3,2.6,-1.33,0.3,0.292,-0.004
5.026,3,4.88,0.6,0.3,0.265,-0.004
5.13,3,2.07,0.44,0.3,0.302,-0.004
5.234,3,-0.66,-0.15,0.3,0.324,-0.001
5.339,3,1.43,0.92,0.3,0.322,-0.002
5.444,3,-2.4,4.55,0.3,0.345,0.04
5.548,3,2.72,2.88,0.3,0.291,0.019
5.652,3,1.13,4.25,0.3,0.319,0.033
5.757,3,0.68,2.69,0.3,0.319,0
5.861,3,1.03,0.08,0.3,0.318,-0.009
5.966,3,1.6,1.67,0.3,0.319,-0.012
6.071,3,2.79,0.37,0.3,0.285,-0.012
6.175,3,0.3,5.55,0.3,0.315,0.043
6.279,3,0.26,-0.03,0.3,0.314,-0.015
6.384,3,-3.85,2.56,0.3,0.354,0.008
6.488,3,1,4.14,0.3,0.312,0.023
6.593,3,6.27,1.21,0.3,0.239,-0.017
6.697,3,4.19,-0.71,0.3,0.264,-0.014
6.802,3,4.7,0.31,0.3,0.266,-0.013
6.906,3,4.75,0.71,0.3,0.268,-0.011
7.011,3,6.7,2.85,0.3,0.247,0.015
7.115,3,2.95,1.22,0.3,0.293,-0.012
7.22,3,-1.09,1.93,0.3,0.329,-0.006
7.325,3,6.88,3.48,0.3,0.245,0.017
7.429,3,-0.53,3.72,0.3,0.33,0.027
7.533,3,7.82,-0.3,0.3,0.24,-0.028
7.637,3,0.59,3.31,0.3,0.33,0.019
7.742,3,2.77,4.07,0.3,0.3,0.024
7.846,3,4.08,4.48,0.3,0.281,0.023
7.95,3,1.34,4.79,0.3,0.328,0.015
8.055,3,3.19,3.34,0.3,0.291,-0.001
8.159,3,0.37,5.53,0.3,0.33,0.016
8.264,3,2.26,5.51,0.3,0.303,0.031
8.368,3,-0.99,4.18,0.3,0.325,0.004
8.472,3,0.64,5.61,0.3,0.324,0.029
8.577,3,4.08,1.83,0.3,0.278,-0.023
8.682,3,2.62,-2.9,0.3,0.293,-0.05
8.786,3,3.98,2.07,0.3,0.28,-0.018
8.89,3,2.38,1.28,0.3,0.301,-0.016
8.995,3,5.03,3.29,0.3,0.27,0.017
9.099,3,2.23,1.27,0.3,0.306,-0.03
9.204,3,5.6,0.64,0.3,0.262,-0.013
9.308,3,5.49,-0.61,0.3,0.267,-0.013
9.413,3,2.55,0.44,0.3,0.299,-0.014
9.518,3,2.09,1,0.3,0.304,-0.013
9.622,3,4.11,1.24,0.3,0.279,-0.012
9.727,3,6.56,-0.64,0.3,0.253,-0.007
9.831,3,1.23,-1.28,0.3,0.332,-0.005
9.936,3,2.89,-1.77,0.3,0.299,-0.002
>>> Measurement Finished,,,,,,
